upload (kbps),download (kbps),latency (ms),condition
20000,50000,100,1.0
20000,50000,100,1.1
20000,50000,100,1.2
20000,50000,250,2.0
20000,50000,250,2.1
20000,50000,250,2.2
20000,50000,400,3.0
20000,50000,400,3.1
20000,50000,400,3.2
20000,50000,550,4.0
20000,50000,550,4.1
20000,50000,550,4.2
20000,50000,750,5.0
20000,50000,750,5.1
20000,50000,750,5.2
5000,50000,100,6.0
5000,50000,100,6.1
5000,50000,100,6.2
5000,50000,250,7.0
5000,50000,250,7.1
5000,50000,250,7.2
5000,50000,400,8.0
5000,50000,400,8.1
5000,50000,400,8.2
5000,50000,550,9.0
5000,50000,550,9.1
5000,50000,550,9.2
5000,50000,750,10.0
5000,50000,750,10.1
5000,50000,750,10.2
1000,50000,100,11.0
1000,50000,100,11.1
1000,50000,100,11.2
1000,50000,250,12.0
1000,50000,250,12.1
1000,50000,250,12.2
1000,50000,400,13.0
1000,50000,400,13.1
1000,50000,400,13.2
1000,50000,550,14.0
1000,50000,550,14.1
1000,50000,550,14.2
1000,50000,750,15.0
1000,50000,750,15.1
1000,50000,750,15.2
500.0,50000,100,16.0
500.0,50000,100,16.1
500.0,50000,100,16.2
500.0,50000,250,17.0
500.0,50000,250,17.1
500.0,50000,250,17.2
500.0,50000,400,18.0
500.0,50000,400,18.1
500.0,50000,400,18.2
500.0,50000,550,19.0
500.0,50000,550,19.1
500.0,50000,550,19.2
500.0,50000,750,20.0
500.0,50000,750,20.1
500.0,50000,750,20.2
